GameTitle,%Y,UserScore,CriticScore,ESRBRating,NA_Sales,Global_Sales,FirstPersonPerspective,Strategy,Fighting,Shooter,Sports,Racing,RPG,Card,Adventure,Platformer,Beat.emUp,TBS,Puzzle,Simulator,Action,Warfare,Fantasy,ScienceFiction,Comedy,Horror,Party,Stealth,TournamentMoneyAwarded,TournamentTotalPlayers,TotalTournaments
Super Smash Bros. for Wii U,2014,86,95,E,3.27,7.55,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1370788.06,1058,821
Age of Empires II: The Age of Kings,1999,64,92,T,0.01,0.09,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,666929.39,261,8
Age of Empires III,2005,77,81,T,0.01,0.38,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,45130,41,2
Age of Empires Online,2011,56,70,E,0.01,0.06,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1100,11,3
Age of Mythology,2002,89,89,T,0.02,0.09,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,52360,22,6
Aquapazza: Aquaplus Dream Match,2011,78,75,T,0.05,0.11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,160,3,1
Arcana Heart 3: Love Max,2013,64,83,T,0.02,0.04,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,410,6,2
Battlefield 2,2005,82,80,T,0.39,0.56,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,91715.22,1,12
Battlefield 2142,2006,68,80,T,0.01,0.03,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18546.14,1,4
Battlefield 3,2011,74,84,M,4.46,7.32,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,18296.6,1,7
